id,title,brand,price,old_price,weight
22,"The Body Shop Body Butter Berry Bon Bon, 200ML",6,1000,1650,200 ML
23,"The Body Shop Body Butter Coconut, 200ML",6,1000,1650,200 ML
24,"The Body Shop Lip Butter Coconut, 10ML",6,330,495,10 ML
25,"The Body Shop Body Butter Strawberry, 200ML",6,1000,1650,200 ML
26,"The Body Shop Almond Milk & Honey Shower Cream, 250ML",6,450,550,250 ML
27,"The Body Shop Vitamin C Glow boosting moisturizer, 50ML",6,1600,2100,50 ML
28,"The Body Shop Vitamin C skin boost (serum), 30ML",6,1350,2000,30 ML
29,"The Body Shop Vitamin C Daily glow (face wash), 125ML",6,1200,1600,125 ML
30,"The Body Shop Vitamin C SPF 30, 50ML",6,1100,1650,50 ML
31,"The Body Shop Drops Of Light Brightening Serum, 30ML",6,2100,2860,30 ML
32,"The Body Shop Drops Of Light Brightening Day Cream, 50ML",6,2000,2420,50 ML
33,"The Body Shop Drops of Light Pure Resurfacing Liquid Peel, 145ML",6,1650,2000,145 ML
34,"The Body Shop Drops of Light Pure Healthy Brightening Eye Cream, 15ML",6,1750,2200,15 ML
35,"The Body Shop Drops of youth Youth Gentle foaming wash, 150ML",6,900,1045,150 ML
36,"The Body Shop Drops of Youth Youth Concentrate, 30ML",6,2200,2850,30 ML
37,"The Body Shop Drops of Youth Cream, 50ML",6,2000,2400,50 ML
38,"The Body Shop Himalyan Charcol Mask, 75ML",6,1900,2100,75 ML
39,"The Body Shop Tea tree Oil, 10ML",6,850,1000,10 ML
40,"The Body Shop Seaweed Facial Cleansing, 100ML",6,980,1300,100 ML
41,"The Body Shop Tea Tree 3 in1 Scrub Mask, 125ML",6,920,935,125 ML
42,"The Body Shop Tea Tree Anti Imperfection Daily Solution, 50ML",6,1500,1600,50 ML
43,"The Body Shop Seaweed Face wash (gel), 125ML",6,950,1250,125 ML
44,"The Body Shop Seaweed Toner, 250ML",6,1000,1200,250 ML
45,"The Body Shop Seaweed Moisturizer Gel Cream, 50ML",6,1200,1450,50 ML
46,"The Body Shop Tea Tree Anti Imperfection Night Mask, 75ML",6,1300,1800,75 ML
47,"The Body Shop Tea Tree BB Cream Shade 1, 40ML",6,750,1030,40 ML
48,"The Body Shop Seaweed Overnight Gel, 30ML",6,1050,1500,30 ML
49,"The Body Shop Tea Tree BB Cream Shade 2, 40ML",6,750,1030,40 ML
50,"The Body Shop Tea Tree Facial Wash, 250ML",6,1000,1020,250 ML
51,"The Body Shop Tea tree Mattifying Lotion, 50ML",6,900,1080,50 ML
52,"The Body Shop Tea Tree Skin Clearing Clay Mask, 100ML",6,1000,1220,100 ML
53,"The Body Shop Fuji Green Tea Body butter, 200ML",6,1000,1650,200 ML
54,"The Body Shop Tea Tree Squeaky Clean Scrub, 100ML",6,750,940,100 ML
55,"The Body Shop Tea Tree Toner, 250ML",6,900,1200,250 ML
56,"The Body Shop Moringa Body butter, 200ML",6,1000,1650,200 ML
57,"The Body Shop Pink Grapefruit Body butter,  200ML",6,1000,1650,200 ML
58,"The Body Shop Vitamin E Toner, 250ML",6,900,1450,250 ML
59,"The Body Shop Vitamin E Night Cream, 50ML",6,1200,1450,50 ML
60,"The Body Shop Vitamin E Moisture Cream 48H, 50ML",6,1200,1450,50 ML
61,"The Body Shop Vanilla Marshmallow Body butter, 200ML",6,1000,1650,200 ML
62,"The Body Shop Vitamin E Moisture Cream 48H gel, 50ML",6,1100,1450,50 ML
63,"The Body Shop Olive Body Scrub, 250ML",6,1000,1650,250 ML
